Name,Category,Emoji,Note,Address,Latitude,Longitude,Google Maps URL
Kapikua Casco Viejo,Cucina spagnola,🇪🇸,,"Posta Kalea, 12, Ibaiondo, 48005 Bilbao, Bizkaia, Spagna",43.2585804,-2.9235944,https://www.google.com/maps/place/g/11cnr75fl6
Eden Rock Café Biarritz,Drinks,🥃,,"2-4 Esp. du Port Vieux, 64200 Biarritz, Francia",43.4824337,-1.5686745,https://www.google.com/maps/place/g/11c0rtz2fq
BAR JEAN BIARRITZ,Ristoranti,🍴,,"5 Rue des Halles, 64200 Biarritz, Francia",43.481334,-1.562546,https://www.google.com/maps/place/g/11bwh5cmqq
Le Basta,Ristoranti,🍴,,"31 Bd du Général de Gaulle, 64200 Biarritz, Francia",43.483613299999995,-1.5625213999999998,https://www.google.com/maps/place/g/11xlt_7c9d
La Villa Belza,Spiagge,🌊,,"Bd du Prince de Galles, 64200 Biarritz, Francia",43.4772514,-1.5669834999999999,https://www.google.com/maps/place/g/11nqqgb202
La Roche Plate - Sandwicherie Biarritz,Panini/burger,🥪,,"3 Pass. Gardères, 64200 Biarritz, Francia",43.483168,-1.5596922,https://www.google.com/maps/place/g/11dyp04hn8
Aberdeen Records,Negozi,🛍️,,"3 Rue du Helder, 64200 Biarritz, Francia",43.4818309,-1.558943,https://www.google.com/maps/place/g/11ssb7rhnh
Sunburn Store,Negozi,🛍️,,"49 Av. Maréchal Joffre, 64200 Biarritz, Francia",43.4750472,-1.562347,https://www.google.com/maps/place/g/11kn42dxs7
1001 Cheeses Biarritz Halles,Mercati/alimentari,🛒,,"Rue des Halles, 64200 Biarritz, Francia",43.481060899999996,-1.5623083,https://www.google.com/maps/place/g/11fhs7g83q
Dunes Blanches chez Pascal Biarritz,Cafes/bakeries,🥐,,"1 Av. du Maréchal Foch, 64200 Biarritz, Francia",43.4815323,-1.5589681,https://www.google.com/maps/place/g/11s4fxm22n
Maison Adam - Biarritz Mazagran,Cafes/bakeries,🥐,,"3 Pl. Georges Clemenceau, 64200 Biarritz, Francia",43.4824342,-1.5615818,https://www.google.com/maps/place/g/11ybd13k1q
Faro di Biarritz,Spiagge,🌊,,"60B Espl. Elisabeth II, 64200 Biarritz, Francia",43.493817,-1.5538982,https://www.google.com/maps/place/g/120x7592
